,recipe,ingredients
1871,Versanto Force-3x Hyper-caffeinated Coffee (6 Pack),"1 Cup 240mg of Caffeine High octane premium flavor,Capacity: 10 Ounce,Quantity: 6 Per carton,Made in the USA,This item is non-returnable,Product Type: Ground coffee,Country of Manufacture: United States,Units per Carton: 6,Overall Height - Top to Bottom: 7.75'',Overall Width - Side to Side: 7.75'',Overall Depth - Front to Back: 7.25'',Overall Product Weight: 4 lbs"
1872,Campbell's Pork & Beans 11oz,"Water,Pea Beans,Pork Stock,High Fructose Corn Syrup,Sugar,Contains Less than 2 of: Modified Food Starch,Salt,Tomato Puree (Water, Tomato Paste),Distilled Vinegar,Pork,Pork Fat,Paprika Extract,Beef Extract,Natural Smoke Flavoring,Flavoring,Onion Extract."
1874,"Martha White Wildberry Muffin Mix, 7 Oz","Enriched Bleached Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),Sugar,Dextrose,Partially Hydrogenated Soybean And Cottonseed Oils,Contains 2 Or Less Of: Yellow Corn Flour,Propylene Glycol Monoesters,Baking Powder (Baking Soda, Sodium Aluminum Phosphate),Modified Corn Starch,Mono And Diglycerides,Calcium Carbonate,Salt,Eggs With Sodium Silicoaluminate Added As Anticaking Agent,Corn Starch,Propylene Glycol Monostearate,Citric Acid,Artificial Flavor,Polysorbate 60,Sodium Stearoyl Lactylate,Colored With (Blue 2 Lake And Red 40 Lake, Yellow 6 Lake, Blue 1 Lake),Calcium Sulfate,Niacin,Iron,Tbhq (Antioxidant),Vitamin B6 Hydrochloride,Riboflavin,Thiamin Mononitrate,Vitamin B12. Contains Egg And Wheat Ingredients. May Contain Milk And Soybean Ingredients."
1876,Dove Milk Chocolate Silky Smooth 1.3 oz,"Milk Chocolate (Sugar, Cocoa Butter, Chocolate, Skim Milk, Milkfat, Lactose, Chocolate Processed with Alkali, Soy Lecithin, Natural and Artificial Flavors),."
1877,Pepsi,"Carbonated Water,High Fructose Corn Syrup,Caramel Color,Sugar,Phosphoric Acid,Citric Acid,Natural Flavor."
1878,"Fancy Feast Flaked Salmon _ Ocean Whitefish Feast Gourmet Cat Food, 3 oz","Fish Broth,Fish,Salmon,Chicken,Liver,Ocean Whitefish,Wheat Gluten,Meat By-Products,Soy Flour,Soy Protein Concentrate,Artificial and Natural Flavors,Added Color,Potassium Chloride,Xanthan Gum,Taurine,Carrageenan,Salt,Choline Chloride,Red 3,Mono and Dicalcium Phosphate,Zinc Sulfate,Thiamine Mononitrate,Vitamin E Supplement,Ferrous Sulfate,Niacin,Copper Sulfate,Manganese Sulfate,Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium Bisulfite Complex (Source of Vitamin K activity),Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide"
1879,Purina Friskies Indoor Delights Cat Food 16.2 oz. Box,"Ground Yellow Corn,Corn Gluten Meal,Chicken by-Product Meal,Meat and Bone Meal,Soybean Meal,Beef Tallow Preserved with Mixed-Tocopherols,Powdered Cellulose,Animal Liver Flavor,Soybean Hulls,Phosphoric Acid,Salmon Meal,Calcium Carbonate,Salt,Natural Flavor,Potassium Chloride,Choline Chloride,Dried Cheese Powder,Parsley Flakes,Added Color,Taurine,Zinc Sulfate,Vitamin E Supplement,Ferrous Sulfate,Yellow 6,Manganese Sulfate,Yellow 5,Niacin,Red 40,Vitamin A Supplement,Calcium Pantothenate,Thiamine Mononitrate,Blue 2,Copper Sulfate,Riboflavin Supplement,Vitamin B-12 Supplement,Pyridoxine Hydrochloride,Folic Acid,Vitamin D-3 Supplement,Calcium Iodate,Biotin,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Sodium Selenite. F-6002."
1880,"Solo Cake _ Pastry Filling Raspberry, 12.0 OZ","Corn Syrup,Raspberries,Water,Sugar,Modified Corn Starch,Natural Flavor,Citric Acid,Gellan Gum,Potassium Sorbate and Sodium Benzoate (preservatives),Sodium Citrate,and Red 40."
1881,"Fancy Feast Medleys Gourmet Cat Food Tender Turkey Tuscany in a Savory Sauce, 3.0 OZ","Poultry Broth,Turkey,Wheat Gluten,Liver,Long Grain Rice,Meat By-Products,Spinach,Corn Starch-Modified,Artificial and Natural Flavors,Salt,Tricalcium Phosphate,Soy Protein Concentrate,Added Color,Potassium Chloride,Taurine,Magnesium Sulfate,Choline Chloride,Thiamine Mononitrate,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Niacin,Calcium Pantothenate,Vitamin A Supplement,Copper Sulfate,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Manganese Sulfate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide."
1882,Purina Fancy Feast Grilled Ocean Whitefish & Tuna Feast in Gravy Cat Food 3 oz. Can,"Fish Broth,Meat By-Products,Wheat Gluten,Ocean Whitefish,Tuna,Chicken,Corn Starch-Modified,Artificial and Natural Flavors,Corn Oil,Salt,Tricalcium Phosphate,Soy Protein Concentrate,Added Color,Potassium Chloride,Taurine,Choline Chloride,Magnesium Sulfate,Mono and Dicalcium Phosphate,Thiamine Mononitrate,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Niacin,Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Copper Sulfate,Manganese Sulfate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide. C-6925."
1883,"International Collection Fiery Toasted Sesame Oil, 8.45 Oz ()","Toasted Sesame Oil,Natural Chilli Flavor."
1884,Sprite Lemon-Lime Soda 12 oz Can,"Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavors,Sodium Citrate,Sodium Benzoate (to Protect Taste).,Sodium Benzoate (to Protect Taste),."
1885,"Crisco Imported Pure Olive Oil, 16.9 fl oz","Refined Olive Oil,Extra Virgin Olive Oil,Extra Virgin Olive Oil."
1887,"Sunkist Orange Soda, 12 fl oz","CARBONATED WATER,HIGH FRUCTOSE CORN SYRUP,CITRIC ACID,SODIUM BENZOATE (PRESERVATIVE),MODIFIED FOOD STARCH,NATURAL FLAVORS,CAFFEINE,ESTER GUM,YELLOW 6,RED 40,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate (Preservative),Modified Food Starch,Natural Flavors,Caffeine,Ester Gum,Yellow 6,Red 40."
1888,"Yogi Kombucha Decaf Green Tea, 16 Tea Bags","Natural Passion Fruit Flavor,Natural Plum Flavor.,Proprietary Blend of Herbs - 1,846 mg.Other Ingredients:Natural Passion Fruit Flavor"
1890,"Spice Islands Pure Vanilla Extract All Natural, 2.0 FL OZ","Bourbon,Vanilla Bean Extractives in water,Alcohol (35%).,Alcohol (35),. All natural,No corn syrup added,Gluten free,Kosher"
1891,Trident Bubblegum Sugar Free Gum with Xylitol - 14/18 piece pks,"Sorbitol,Gum Base,Xylitol,Glycerin,Less than 2% of: Acesulfame Potassium,Aspartame,BHT (to Maintain Freshness),Mannitol,Natural and Artificial Flavor,Red 40 Lake,Soy Lecithin,Sucralose."
1892,"Kinnikinnick Gluten Free Pancake and Waffle Mix, 16 Oz","Pea starch,white rice flour,corn starch,sugar,tapioca starch,dextrose,defatted soy flour,leavening (sodium acid pyrophosphate,sodium bicarbonate,pea starch,mono calcium phosphate),inulin,pea protein,pea fiber,fructose,salt,cream of tartar,modified cellulose,natural flavor,guar gum. May contain: eggs"
1893,Rstd Red Peppers,"Red Peppers,Water,Salt,Sugar and Citric Acid"
1894,Al Wadi Pomegranate Molasses 14 Oz (Pack of 2),"Concentrated Pomegranate Juice,Water,Sugar,Citric Acid."
1895,"Reese White Cooking Wine, 12.7 oz","White Wine,Salt,Potassium Sorbate & Metabisulfite (Preservatives),."
1897,"Kedem Sugar Free Tea Biscuits, 4.5 OZ","Wheat Flour,Maltitol,Vegetable Shortening (Soybean,and/or Palm Oil),Corn Starch,Salt,Leavening (Ammonium Bicarbonate,Sodium Bicarbonate,Sodium Pyrophosphate),Soy Lecithin,Caramel,Sodium Metabisulfite,Acesulfame Potassium,Artificial Flavor,Natural Antioxidant (Rosemary Oil).,Vegetable Shortening (Soybean, and/or Palm Oil),Leavening (Ammonium Bicarbonate, Sodium Bicarbonate, Sodium Pyrophosphate),Natural Antioxidant (Rosemary Oil),."
1898,"Wrigley's Doublemint Gum, 15 Ct","Sugar,Gum Base,Dextrose,Corn Syrup,Natural And Artificial Flavors; Less Than 2% of Glycerol,Aspartame,Gum Arabic,Soy Lecithin,Acesulfame K,Color (Titanium Dioxide),BHT (to Maintain Freshness),. Phenylketonurnics: Contains Phenylalanine."
1899,Betty CrockerÂ® BisquickÂ® Pancake Mix Complete Buttermilk 37.0 oz Box,"Enriched Flour Bleached (Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Sugar,Degermed Yellow Corn Meal,Defatted Soy Flour,Palm Oil,Leavening (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate),Dextrose,Buttermilk,Salt,DATEM,Calcium Carbonate."
1900,"De Lallo Garlic Flavored Dipping Oil, 8.5 oz","Extra Virgin Olive Oil,Natural Flavor."
1902,"Jell-O Pudding _ Pie Filling Cook _ Serve Banana Cream, 3 Oz","Sugar,Dextrose,Cornstarch,Modified Cornstarch,Salt,Contains less than 2% of Natural and Artificial Flavor,Calcium Carrageenan (Thickener),Polysorbate 60 (Prevents scorching),Yellow 5,Yellow 6,Dextrose (From Corn),Cornstarch Modified,Contains Less Than 2 Of Natural Flavor,Artificial Flavor,Polysorbate 60 (Prevents Scorching),Yellow 6."
1903,"Olivado Extra Virgin Cold Pressed Macadamia Nut Oil, 8.45 Fl Oz","Extra Virgin Macadamia Nut Oil (100%).,Extra Virgin Macadamia Nut Oil (100%),."
1904,"Lee Kum Kee Sesame Oil Blended With Soybean Oil, 7 fl oz","SESAME OIL,SOYBEAN OIL."
1905,Crystal Light On-The-Go Variety Pack,"Lemonade: Citric Acid,Potassium and Sodium Citrate,Aspartame (Phenylketonurics: Contains Phenylalanine),Magnesium Oxide,Contains Less than 2% of Natural Flavor,Lemon Juice Solids,Acesulfame Potassium,Soy Lecithin,Artificial Color,Yellow 5,BHA (Preserves Freshness). Raspberry Lemonade: Citric Acid,Potassium Citrate,Calcium Phosphate,Raspberry Juice Solids,Contains Less than 2% of Natural and Artificial Flavor,Red 40,Blue 1,Tocopherol (Preserves Freshness). Wild Strawberry: Citric Acid,Maltodextrin,Caffeine,Niacinamide,Calcium Pantothenate and Biotin (B-Vitamins),Vitamin B6,Vitamin B12,Tocopherol (to Protect Flavor). Cherry Pomegranate : Citric Acid,Modified Cornstarch,Ascorbic Acid (Vitamin C),Vitamin E Acetate,Beta Carotene,Calcium Carbonate,Sodium and Potassium Bicarbonate,Blue1."
1906,"Hodgson Mill Unbleached Naturally White Flour, 5 Lb","Wheat Flour (Unbleached & Unenriched),Wheat Flour (Unbleached and Unenriched),."
1907,"Streit's Honey Bag N' Bake Seasoned Coating Mix, 2.75 OZ","Matzo Meal (Passover Wheat Flour & Water),Brown Sugar,Sugar,Honey,Cottonseed Oil,Potato Starch,Salt,Caramel Color.,Potatoes (Mono & Diglycerides & Sodium Acid Pyrophates)"
1909,"Pamela's Sugar Cookie Mix Roll _ Cut Gluten-Free Non-Dairy, 13.0 OZ","Evaporated Cane Sugar,Brown Rice Flour,Cassava Flour,Powdered Sugar (Contains 3% Tapioca Starch),Potato Starch,Tapioca Starch,Sorghum Flour,White Rice Flour,Sweet Rice Flour,Sea Salt,Gluten-free Flavor,Guar Gum,Grainless & Aluminum-free Baking Powder (Sodium Acid Pyrophosphate,Sodium Bicarbonate).,Organic Powdered Sugar (Contains 3 Corn Starch),Natural Vanilla Flavor,Grainless Aluminum-Free Baking Powder (Sodium Bicarbonate, Sodium Acid Pyrophosphate, Potato Starch),."
1910,"Zatarain's Hush Puppy, 10.6 oz.","Enriched Yellow Corn Meal (Corn Meal,Iron,Niacin,Thiamine Mononitrate,Riboflavin,Folic Acid),Enriched Bleached Wheat Flour (Flour & Malt Barley Flour,Sugar,Onion,Salt,Leavening (Sodium Bicarbonate,Sodium Aluminum Phosphate),Spices,Garlic and Monosodium Glutamate (Flavor Enhancer).,Enriched Yellow Corn Meal (Corn Meal, Iron, Niacin, Thiamine Mononitrate, Riboflavin, Folic Acid),Enriched Bleached Wheat Flour (Flour Malt Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate),Garlic and Monosodium Glutamate (Flavor Enhancer),."
1911,"Country Club Raspberry Soda, 2 Lt","Triple Filtered Carbonated Water,High Fructose Corn Syrup,Natural And Artificial Flavors,Citric Acid,Sodium Benzoate (A Preservative),And Artificial Colors (FD&C Red #40)."
1913,"Dr Pepper, 24 fl oz","CARBONATED WATER,HIGH FRUCTOSE CORN SYRUP,CARAMEL COLOR,PHOSPHORIC ACID,NATURAL AND ARTIFICIAL FLAVORS,SODIUM BENZOATE (PRESERVATIVE),CAFFEINE,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural And Artificial Flavors,Sodium Benzoate (Preservative),Caffeine."
1914,"Hodgson Mill Flour, Bread, Unbleached","Unbleached and Enriched Wheat Flour (Niacin,Iron,Thiamine,Riboflavin,Folic Acid),Malted Barley Flour.,Unbleached and Enriched Wheat Flour (Niacin, Iron, Thiamine, Riboflavin, Folic Acid)"
1915,"Puroast Mocha Java Decaf Ground Coffee, 40 oz","100% Roasted Coffee.,100 Roasted Coffee. 100 premium coffee no additives,gluten free,calorie free,Great-tasting coffee any time of the day,70 less acidity compared to other leading coffees,which makes Puroast ideal for people with chronic heartburn,ulcers or acid reflux,7 times more antioxidants than green tea and 5 times more antioxidants than other coffees,Add to your overall wellness with Puroast Coffee,Gives you all of the coffee flavor without the bitterness--that's why you don't need sugar,The Bienestar Process--great taste and wellness in every cup"
1916,"Garden of Eatin' Red Hot Blues Corn Tortilla Chips, 16 oz","ORGANIC BLUE CORN,EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL TOMATO POWDER,RICE FLOUR,SALT,PAPRIKA AND SPICES,ONION,TORULA YEAST,NATURAL FLAVOR.,Organic Blue Corn,Expeller Pressed Canola Oil and/or Safflower Oil and/or Sunflower Oil,Tomato Powder,Rice Flour,Salt,Paprika and Spices,Onion,Torula Yeast,Natural Flavor."
1917,"Reese Watermelon Rind, Jar, 10-Ounce (Pack of 6)","Watermelon Rind,Corn Syrup,Sugar,Water,Vinegar,Salt,Spices,Sodium Benzoate (Preservative),."
1918,"Woebers Supreme Dip Honey Mustard, 10 Ounce -- 6 per case.","Soybean Oil,Water,Distilled Vinegar,Corn Syrup,Mustard Seed,Honey,Modified Corn Starch,Egg Yolks,Sugar,Salt,Spices,Flavorings,White Wine,Cider Vinegar,Citric Acid,Tartaric Acid,Potassium Sorbate and Sodium Benzoate (Preservatives),Xanthan Gum,Paprika,Caramel Coloring,FDC Yellow 5,and Calcium Disodium Edta to Protect Flavor."
1919,"Maitre Jacques Vinegar, Fr. Tarsprig, 16.90-Ounce (Pack of 6)","White Wine Vinegar,Natural Tarragon Flavor,Tarragon,Sprig,Potassium Bisulphite as a Preservative. Adjusted with Water to 6 Acidity."
1920,"B&M Baked Beans, Bacon & Onion, 16 Ounce (Pack of 12)","Baked Small Pea Beans in Sauce Containing Water,Sugar,Molasses,Cooked Bacon (Cured with Water, Salt, Sugar, Smoke Flavor, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite),Salt,Corn Starch-Modified,Dried Onion,Spice,Brown Sugar,Natural Smoke Flavor,Dried Garlic,Natural Flavor."
1921,"DICKINSON PRESERVE STRWBRY, 10 OZ PACK OF 3","Pacific Mountain Strawberry Preserves: Strawberries,Sugar,Corn Syrup,High Fructose Corn Syrup,Pectin,Citric Acid."
1922,Maximum International Maximum Gozombas Tablets,"Folate (as folic acid)300mcg,Biotin 300mcg,Selenium (as selenium chelate)120mcg,Chaste Berry (Vitex agnus-castus)(fruit)(from 150mg of Chaste berry 4:1 extract), Damiana (Turnera diffusa)(leaf), Oat Bran (Avena Sativa), Saw Palmetto (powder and extract)(Serenoa repens)(fruit)(50% fatty acids = 90mg). Dong Quai (Angelica sinensis)(root)(standardized to 1% lingustilide), Dandelion (Taraxacum officinale)(root)(standardized to 20% total strois), Wild Yam (Dioscorea villosa)(root)(standardized to 10%"
1924,"S&W Sliced Beets, 15-Ounce (Pack of 12)","Beets,Water,Sugar,Salt."
1925,"Mccormick Slow Cookers Southern BBQ Ribs Seasoning Mix, 1.25 OZ (Pack of 12)","Spices (Including Chili Pepper, Black Pepper, Cinnamon),Brown Sugar,Modified Corn Starch,Salt,Onion,Garlic,Sunflower Oil,Refinery Syrup,Cane Molasses,Extractives of Paprika,Natural Hickory Smoke Flavor,And Caramel Color."
1926,Cento Juice Clam,"Clam Juice,Salt."
1927,Flavorganics Organic Coffee Extract - 2 oz,"WATER ORGANIC ALCOHOL,ORGANIC AGAVE SYRUP,ORGANIC COFFEE.,Water,Organic Alcohol,Organic Agave Syrup,Organic Coffee."
1928,"Dynasty Tempura Batter Mix, 8 oz","Unbleached Enriched Wheat Flour (Niacin,Reduced Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Cornstarch,Leavenings (Sodium Acid Pyrophosphate,Sodium Bicarbonate). This Product Contains Wheat And Is Processed At A Facility That Uses Egg,Soy And Milk.,Unbleached Enriched Wheat Flour (Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Leavenings (Sodium Acid Pyrophosphate, Sodium Bicarbonate),. This Product Contains Wheat And Is Processed At A Facility That Uses Egg"
1929,"Pillsbury Chocolate Chip Cookie Mix, 17.5 Oz","Enriched Bleached Flour (Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Sugar,Semisweet Chocolate Chips (Sugar,Chocolate Liquor,Milk Fat,Cocoa Butter,Soy Lecithin,Vanilla),Partially Hydrogenated Soybean Oil,Contains 2% Or Less of: Dextrose,Wheat Starch,Baking Soda,Corn Starch,Dried Molasses,Nonfat Milk,Natural And Artificial Flavor,Salt,Cellulose. Contains Milk,Soybean And Wheat Ingredients."
1930,Cafix - Instant Beverage Coffee Substitute All Natural - 3.5 oz.,"ROASTED BARLEY,CHICORY,MALT,FIGS,RED BEET CONCENTRATE."
1931,Equal Coffee and Tea Sweetener Sugar Free Sweetener with No Calories Artificial Sugar Replacement Saccharin Sweetener,"Dextrose with Maltodextrin,Sodium Saccharin (32mg Saccharin),Cream of Tartar,Calcium Silicate (Anti-Caking Agent)"
1932,Drakes Crispy Fry Mix 10 Oz,"WHEAT FLOUR,SALT,CORN MEAL,WHEY (MILK PRODUCT),SPIES,COLORING,AND SODIUM BICARBONATE."
1935,"Betty Crocker Muffin Mix, Banana Nut, 6.4 Oz","Enriched Flour Bleached (Wheat Flour,Malted Barley Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Sugar,Corn Syrup,Dextrose,Vegetable Oil (Palm and/or Partially Hydrogenated Soybean and/or Cottonseed Oil),Walnuts,Leavening (Baking Soda,Sodium Aluminum Phosphate),Modified Corn Starch,Toasted Wheat Germ,Salt,Egg White,Nonfat Milk,Propylene Glycol Monoesters of Fatty Acids,Mono and Diglycerides,DATEM,Soy Lecithin,Color Added,Sodium Stearoyl Lactylate,Xanthan Gum,Cellulose Gum,Natural and Artificial Flavor,Freshness Preserved by BHT.,Enriched Flour Bleached (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),Leavening (Baking Soda, Sodium Aluminum Phosphate)"
1937,"Arrowhead Mills Fudge Brownie Mix Gluten Free, 17.5 OZ","Organic Evaporated Cane Syrup,Rice Flour,Organic Cocoa Powder Processed With Alkali,Organic Chocolate Chips (Organic Cane Sugar,Organic Chocolate Liquor [Contains Traces Of Milk],Organic Cocoa Butter,Soy Lecithin,Organic Vanilla),Sea Salt,Leavening (Monocalcium Phosphate,Baking Soda).,Organic Dutch Cocoa Powder,Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor Contains Traces of Milk, Organic Cocoa Butter, Soy Lecithin, Organic Vanilla),Baking Powder (Monocalcium Phosphate, Baking Powder),."
1938,Almond Flour Chocolate Chip Cookie Mix,"Almonds,organic coconut nectar,organic chocolate chips (organic cane juice,organic cocoa liquor,organic cocoa butter,organic vanilla),organic coconut flour,arrowroot powder,baking soda,celtic sea salt"
1939,"LaCroix Sparkling Water, Orange Flavor, 12 oz cans","Carbonated Water,Natural Flavor.,Carbonated Water, Natural Flavor.,Orange"
1940,"Ragu Robust Saut?ed Onion And Garlic Past Sauce, 24 Oz","Tomato Puree (Water,Tomato Paste),Diced Tomatoes in Puree [Diced Tomatoes,Tomato Puree,Calcium Chloride (Firming Aid),Citric Acid],Onions,Soybean Oil,Sugar,Salt,Garlic,Spices,Natural Flavor."
1941,B-Fresh Cinnamon Flavor Gum,"Xylitol,gumbase,natural cinnamon flavor,vitamin B12,gum arabic,carnauba wax,calcium citrate,calcium gluconate."
1942,"Kraft Macaroni Cheese Dinner, Nickelodeon SpongeBob Squarepants, SpongeBob Shapes 1.9 oz (54 g)","Pasta (Enriched Wheat Flour Wheat Flour, Niacin, Ferrous Sulfate (Iron), Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid, Whole Wheat Flour, Glycerol Monostearate),Cheese Sauce Mix (Whey, Corn Syrup Solids, Palm Oil, Milkfat, Salt, Milk Protein Concentrate, Contains Less than 2 of Medium Chain Triglycerides, Sodium Tripolyphosphate, Citric Acid, Guar Gum, Sodium Phosphate, Natural Flavor, Calcium Phosphate, Lactic Acid, Monosodium Glutamate, Yellow 5, Yellow 6, Artificial Flavor, Cheese Culture, Enzymes),Modified Food Starch,Maltodextrin,Potassium Chloride,Acetylated Monoglycerides,Salt,Medium Chain Triglycerides,Apocarotenal (Color),."
1943,Hot Cocoa Holiday Variety Pack Single Serve,"Dark Chocolate: Sugar,Glucose Syrup Solids,Cocoa (Processed with Alkali),Partially Hydrogenated Vegetable Oil,(May Contain Coconut, Soybean, Sunflower Palm and/or Canola),Modified Whey,Maltodextrin,Salt,Natural and Artificial Flavors,Cellulose Gum,Sodium Caseinate,Cornstarch,Lactose Dipotassium Phosphate,Sucralose,Mono- and Diglycerides,Silicon Dioxide,Soy Lecithin,Artificial Color. Peppermint: Sugar,Glucose Syrup Solids,Cocoa (Processed with Alkali),Partially Hydrogenated Vegetable Oil (May Contain Coconut, Soybean, Sunflower, Palm and/or Canola),Nonfat Dry Milk,Modified Whey,Maltodextrin,Salt,Natural and Artificial Flavors,Cellulose Gum,Sodium Caseinate,Cornstarch,Lactose Dipotassium Phosphate,Sucralose,Mono- and Diglycerides,Silicon Dioxide,Soy Lecithin,Artificial Color. Milk Chocolate: Sugar,Glucose Syrup Solids,Cocoa (Processed with Alkali),Partially Hydrogenated Vegetable Oil (May Contain Coconut, Soybean, Sunflower, Palm and/or Canola),Nonfat Dry Milk,Modified Whey,Maltodextrin,Salt,Natural and Artificial Flavors,Cellulose Gum,Sodium Caseinate,Cornstarch,Lactose,Dipotassium Phosphate,Sucralose,Mono- and Diglycerides,Silicon Dioxide,Soy Lecithin,Artificial Color."
